COMPONENT,COMPONENT_cleaned
HTLV-1+2 gp46 Ak,htlv gp ak
Ciprofloxacin^TDM Spitze,ciprofloxacin tdm spitze
Ciprofloxacin^TDM Tal,ciprofloxacin tdm tal
"Cortisol^1 Stunde nach 0,05-0,15 U Insulin/kg intravenös nach 12 Stunden Nahrungskarenz",cortisol stunde insulin kg intravenoes nahrungskarenz
Transferrin.kohlenhydratdefizient,transferrin kohlenhydratdefizient
Cortisol^1 Stunde nach 250 µg Corticotropin intravenös schnell,cortisol stunde corticotropin intravenoes schnell
Alkalische Phosphatase.Leber,alkalische phosphatase leber
Carnitin/Creatinin,carnitin creatinin
Toxikologische Untersuchungen,toxikologische untersuchungen
Chemische Untersuchungen,chemische untersuchungen
Somatotropin^1 Stunde nach XXX Stimulation,somatotropin stunde stimulation
HTLV-1+2 rgp21 Ak,htlv rgp ak
Cryptomeria japonica Ak.IgE,cryptomeria japonica ak ige
Elastase.pankreatisch,elastase pankreatisch
Lactatdehydrogenase 1/Lactatdehydrogenase 2,lactatdehydrogenase lactatdehydrogenase
Estrogenrezeptor,estrogenrezeptor
Ustilago nuda+Ustilago tritici Ak.IgE,ustilago nuda ustilago tritici ak ige
IgG Clearance/Albumin-Clearance,igg clearance albumin clearance
Eisen/Transferrin,eisen transferrin
Gardnerella vaginalis,gardnerella vaginalis
Bovine Gelatine Ak.IgE.RAST Klasse,bovine gelatine ak ige rast klasse
Giardia lamblia Ak.IgA,giardia lamblia ak iga
Gluten Ak.IgG.RAST Klasse,gluten ak igg rast klasse
Histoplasma capsulatum Ak,histoplasma capsulatum ak
Mausepithel+Serumproteine+Urinproteine Ak.IgE,mausepithel serumproteine urinproteine ak ige
Taubenserum Ak.IgG,taubenserum ak igg
Rattenepithel+Serumproteine+Urinproteine Ak.IgE,rattenepithel serumproteine urinproteine ak ige
Crocus sativus Ak.IgE,crocus sativus ak ige
Abfallseide Ak.IgE,abfallseide ak ige
Komplikationen,komplikationen
Follitropin^15 Minuten nach Dosis Gonadotropin-Releasing-Hormon,follitropin minuten dosis gonadotropin releasing hormon
Legionella pneumophila Ak.IgG,legionella pneumophila ak igg
Leptin,leptin
Calciumphosphat-Produkt,calciumphosphat produkt
Fluorid/Creatinin,fluorid creatinin
Silber/Creatinin,silber creatinin
Harnstoff-Stickstoff Renale Clearance,harnstoff stickstoff renale clearance
Eisen.mikroskopische Beobachtung,eisen mikroskopische beobachtung
Cortisol^30 Minuten nach 250 µg Corticotropin intravenös schnell,cortisol minuten corticotropin intravenoes schnell
Retikulozyten,retikulozyten
Hepatitis-E-Virus Ak.IgG,hepatitis virus ak igg
Phosphatidylserin Ak.IgM,phosphatidylserin ak igm
Mitochondrien M2 Ak.IgG,mitochondrien ak igg
Somatotropin Ak,somatotropin ak
"Follitropin^1,5 Stunden nach XXX Stimulation",follitropin stimulation
Vitis vinifera Ak.IgG.RAST Klasse,vitis vinifera ak igg rast klasse
Trypanosoma sp Ak,trypanosoma sp ak
Glucose-6-Phosphat-Dehydrogenase,glucose phosphat dehydrogenase
17-Hydroxypregnenolon,hydroxypregnenolon
Fasciola sp Ak,fasciola sp ak
Probe ikterisch,probe ikterisch
Cardiolipin,cardiolipin
Malathion,malathion
Bismut,bismut
Myelin Ak.IgM,myelin ak igm
Muskat Ak.IgG.RAST Klasse,muskat ak igg rast klasse
Avena sativa Ak.IgG.RAST Klasse,avena sativa ak igg rast klasse
Olea europaea Ak.IgE.RAST Klasse,olea europaea ak ige rast klasse
Allium cepa Ak.IgG.RAST Klasse,allium cepa ak igg rast klasse
Campylobacter jejuni Ak,campylobacter jejuni ak
Kobalt,kobalt
Chlamydia sp Ak.IgA,chlamydia sp ak iga
Plasmodium malariae Ak,plasmodium malariae ak
Citrus sinensis Ak.IgG.RAST Klasse,citrus sinensis ak igg rast klasse
Myelin-basisches Protein Ak.IgM,myelin basisches protein ak igm
Parietalzelle Ak,parietalzelle ak
Hämoglobin F-Verteilung,haemoglobin verteilung
Organische Säuren/Creatinin,organische saeuren creatinin
Cortisol^30 Minuten nach 1 µg/kg CRH intravenös,cortisol minuten kg crh intravenoes
Gewebe-Polypeptid Ag,gewebe polypeptid ag
Parainfluenza-Virus,parainfluenza virus
Arachis hypogaea Ak.IgG.RAST Klasse,arachis hypogaea ak igg rast klasse
Ananas comosus Ak.IgG.RAST Klasse,ananas comosus ak igg rast klasse
Solanum tuberosum Ak.IgG.RAST Klasse,solanum tuberosum ak igg rast klasse
Rickettsia-Fleckfieber-Gruppe Ak.IgM,rickettsia fleckfieber gruppe ak igm
Sesamum indicum Ak.IgG.RAST Klasse,sesamum indicum ak igg rast klasse
Pandalus borealis Ak.IgG.RAST Klasse,pandalus borealis ak igg rast klasse
Zucchini Ak.IgE.RAST Klasse,zucchini ak ige rast klasse
Zucchini Ak.IgG.RAST Klasse,zucchini ak igg rast klasse
Hunde-Serumalbumin Ak.IgE.RAST Klasse,hunde serumalbumin ak ige rast klasse
Echinococcus sp Ak,echinococcus sp ak
Filaria Ak,filaria ak
Herpes-Virus Typ 6 Ak.IgG,herpes virus typ ak igg
Koffein,koffein
Fragaria vesca Ak.IgG.RAST Klasse,fragaria vesca ak igg rast klasse
Ipomoea batatas Ak.IgG.RAST Klasse,ipomoea batatas ak igg rast klasse
Lycopersicon lycopersicum Ak.IgG.RAST Klasse,lycopersicon lycopersicum ak igg rast klasse
Cardiolipin Ak.IgM,cardiolipin ak igm
Acetylcholinrezeptor Ak,acetylcholinrezeptor ak
Plasmodium vivax Ak,plasmodium vivax ak
Lipoprotein-Muster,lipoprotein muster
Schokolade Ak.IgE.RAST Klasse,schokolade ak ige rast klasse
Cortison,cortison
Creatinkinase.MM,creatinkinase mm
Creatinkinase.gesamt/Creatinkinase.MB,creatinkinase gesamt creatinkinase mb
Ustilago nuda+Ustilago tritici Ak.IgE.RAST Klasse,ustilago nuda ustilago tritici ak ige rast klasse
Coxiella burnetii Ak.IgM,coxiella burnetii ak igm
aktiviertes Protein C-Gen Mutationen getestet auf,aktiviertes protein gen mutationen getestet
CFTR-Gen.p.Phe508del,cftr gen phe del
F5-Gen zielgerichtete Mutationsanalyse,gen zielgerichtete mutationsanalyse
Secale cereale Ak.IgG.RAST Klasse,secale cereale ak igg rast klasse
Spinacia oleracea Ak.IgG.RAST Klasse,spinacia oleracea ak igg rast klasse
Tryptase,tryptase
Schistosoma sp Ak,schistosoma sp ak
Chlamydophila psittaci Ak,chlamydophila psittaci ak
IgG/Protein.gesamt,igg protein gesamt
Benzoylecgonin,benzoylecgonin
Streptococcus pneumoniae Ag,streptococcus pneumoniae ag
Polymorphonukleäre Zellen/Leukozyten,polymorphonukleaere zellen leukozyten
Lithium,lithium
Faktor-Inhibitor XXX,faktor inhibitor
Corticotropin^1 Stunde nach 1 µg/kg CRH intravenös,corticotropin stunde kg crh intravenoes
Dextromethorphan,dextromethorphan
Corticotropin^30 Minuten nach Dosis Insulin intravenös,corticotropin minuten dosis insulin intravenoes
Trichomonas vaginalis,trichomonas vaginalis
Juglans regia Ak.IgE.RAST Klasse,juglans regia ak ige rast klasse
Gasterophilus intestinalis Ak.IgE.RAST Klasse,gasterophilus intestinalis ak ige rast klasse
Mumps-Virus Ak.IgG,mumps virus ak igg
Mumps-Virus Ak.IgM,mumps virus ak igm
Triticum aestivum Ak.IgG.RAST Klasse,triticum aestivum ak igg rast klasse
Kryofibrinogen,kryofibrinogen
F5-Gen.p.Arg506Gln,gen arg gln
FGFR3-Gen zielgerichtete Mutationsanalyse,fgfr gen zielgerichtete mutationsanalyse
Taurin,taurin
Fasciola sp Ak.IgG,fasciola sp ak igg
Trigonella foenum-graecum Ak.IgE.RAST Klasse,trigonella foenum graecum ak ige rast klasse
Filaria Ak.IgG,filaria ak igg
Cardiolipin Ak.IgA,cardiolipin ak iga
Brucella abortus Ak.IgG,brucella abortus ak igg
Toxocara canis Ak.IgG,toxocara canis ak igg
Escherichia coli Serotyp,escherichia coli serotyp
Chlamydia trachomatis Ak,chlamydia trachomatis ak
Dihydropteridinreduktase,dihydropteridinreduktase
Chlamydophila psittaci Ak.IgM,chlamydophila psittaci ak igm
Chlamydophila pneumoniae Ak.IgM,chlamydophila pneumoniae ak igm
Elastase.leukozytisch,elastase leukozytisch
Entamoeba histolytica Ak.IgA,entamoeba histolytica ak iga
Elettaria cardamomum Ak.IgE.RAST Klasse,elettaria cardamomum ak ige rast klasse
Cefaclor Ak.IgE.RAST Klasse,cefaclor ak ige rast klasse
Apium graveolens Ak.IgG.RAST Klasse,apium graveolens ak igg rast klasse
Chlamydophila psittaci Ak.IgA,chlamydophila psittaci ak iga
Rickettsia sp,rickettsia sp
Antithrombin,antithrombin
Gerinnungsfaktor VIII,gerinnungsfaktor viii
7-Aminoflunitrazepam,aminoflunitrazepam
Choriomammotropin,choriomammotropin
Ascaris lumbricoides Ak.IgE,ascaris lumbricoides ak ige
Coxiella burnetii Ak,coxiella burnetii ak
Epstein-Barr-Virus early Ak.IgG,epstein barr virus early ak igg
Giardia lamblia Ak,giardia lamblia ak
Hepatitis-B-Virus-Core Ak,hepatitis virus core ak
Herpes-simplex-Virus Typ 1 Ak,herpes simplex virus typ ak
Musa spp Ak.IgG.RAST Klasse,musa spp ak igg rast klasse
Glycine max-Staub Ak.IgE.RAST Klasse,glycine max staub ak ige rast klasse
Rindfleisch Ak.IgG.RAST Klasse,rindfleisch ak igg rast klasse
Hepatitis-B-Virus-surface Ak,hepatitis virus surface ak
Rumex acetosella Ak.IgG,rumex acetosella ak igg
Bromus inermis Ak.IgG,bromus inermis ak igg
Ambrosia trifida Ak.IgG,ambrosia trifida ak igg
Mangifera indica Ak.IgG,mangifera indica ak igg
Legionella sp Ak,legionella sp ak
Mycoplasma sp Ak,mycoplasma sp ak
"Cortisol^vor 500 µg Dexamethason per os 2,5 Tage niedrige Dosis alle 6 Stunden",cortisol dexamethason per os tage niedrige dosis
Globulin,globulin
Cortisol^vor 1 µg/kg CRH intravenös,cortisol kg crh intravenoes
Humanes Papillomavirus Ak,humanes papillomavirus ak
Pasteurella multocida Ak,pasteurella multocida ak
Komplement C1-Esterase-Inhibitor.funktionell/Komplement C1 Esterase-Inhibitor.gesamt,komplement esterase inhibitor funktionell komplement esterase inhibitor gesamt
Aspergillus fumigatus Ag,aspergillus fumigatus ag
Filaria,filaria
Chlamydophila pneumoniae DNA,chlamydophila pneumoniae dna
Coccidia,coccidia
Lymphozytisches Choriomeningitis-Virus Ak.IgG,lymphozytisches choriomeningitis virus ak igg
Rickettsia-Fleckfieber-Gruppe Ak,rickettsia fleckfieber gruppe ak
Rickettsia typhi Ak.IgG,rickettsia typhi ak igg
Respiratorisches Synzytial-Virus Ak,respiratorisches synzytial virus ak
Masern-Virus Ak.IgG^1. Probenmaterial,masern virus ak igg probenmaterial
Schistosoma mansoni Ak,schistosoma mansoni ak
Echinococcus granulosus Ak.IgE,echinococcus granulosus ak ige
Anaplasma phagocytophilum Ak.IgG,anaplasma phagocytophilum ak igg
Chlamydophila pneumoniae Ak.IgG,chlamydophila pneumoniae ak igg
Chlamydophila psittaci Ak.IgG,chlamydophila psittaci ak igg
Chromogranin A,chromogranin
Blatta orientalis Ak.IgE,blatta orientalis ak ige
Bougainvillea Ak.IgE,bougainvillea ak ige
Plasmazellen,plasmazellen
"Lymphozyten.atypisch, vermutlich neoplastisch",lymphozyten atypisch vermutlich neoplastisch
Haarzellen/Leukozyten,haarzellen leukozyten
Treponema pallidum Ak,treponema pallidum ak
Androgen.frei Index,androgen frei index
Coxsackie-Virus A16 Ak^1. Probenmaterial,coxsackie virus ak probenmaterial
Erythromycin,erythromycin
Trypanosoma equiperdum Ak,trypanosoma equiperdum ak
Helianthus annuus-Samen Ak.IgG.RAST Klasse,helianthus annuus samen ak igg rast klasse
Hepatitis-B-Virus-Core Ak.IgM,hepatitis virus core ak igm
Fraxinus americana Ak.IgG,fraxinus americana ak igg
Estron,estron
Varicella-Zoster-Virus Ak,varicella zoster virus ak
Toxoplasma gondii Ak.IgA,toxoplasma gondii ak iga
Olea europaea Ak.IgE,olea europaea ak ige
Petroselinum crispum Ak.IgG.RAST Klasse,petroselinum crispum ak igg rast klasse
Pfeffer grün Ak.IgG.RAST Klasse,pfeffer gruen ak igg rast klasse
Shigella flexneri Ak,shigella flexneri ak
Gamma-Glutamyl-Transferase/Aspartat-Aminotransferase,gamma glutamyl transferase aspartat aminotransferase
Rabies-Virus Ag,rabies virus ag
Varicella-Zoster-Virus Ak.IgM,varicella zoster virus ak igm
Doxycyclin,doxycyclin
Syzygium aromaticum Ak.IgG.RAST Klasse,syzygium aromaticum ak igg rast klasse
Gadus morhua Ak.IgG.RAST Klasse,gadus morhua ak igg rast klasse
Monozyten,monozyten
Cancer pagurus Ak.IgG.RAST Klasse,cancer pagurus ak igg rast klasse
Eigelb Ak.IgG.RAST Klasse,eigelb ak igg rast klasse
Epstein-Barr-Virus nukleärer Ak,epstein barr virus nukleaerer ak
Wuchereria bancrofti Ak,wuchereria bancrofti ak
Ostrea edulis Ak.IgG,ostrea edulis ak igg
Capsicum annuum Ak.IgE,capsicum annuum ak ige
Juglans spp Ak.IgE,juglans spp ak ige
Dolichovespula maculata Ak.IgE,dolichovespula maculata ak ige
Humanes Coronavirus 229E RNA,humanes coronavirus rna
Persea americana Ak.IgE,persea americana ak ige
Musa spp Ak.IgE,musa spp ak ige
Fagus grandifolia Ak.IgE,fagus grandifolia ak ige
Holo-Transcobalamin II,holo transcobalamin ii
Pferdeschuppen Ak.IgE,pferdeschuppen ak ige
Bovines Insulin Ak.IgE,bovines insulin ak ige
Cupressus sempervirens Ak.IgE,cupressus sempervirens ak ige
Valin/Phenylalanin,valin phenylalanin
Xylose^nach 25 g Xylose per os,xylose xylose per os
Alloisoleucin,alloisoleucin
Propylenglycol,propylenglycol
Phytanat,phytanat
Threonin/Creatinin,threonin creatinin
Valin/Creatinin,valin creatinin
Lactuca sativa Ak.IgG.RAST Klasse,lactuca sativa ak igg rast klasse
Homarus gammarus Ak.IgG.RAST Klasse,homarus gammarus ak igg rast klasse
Lymphozyten.kappa/Lymphozyten.lambda,lymphozyten kappa lymphozyten lambda
Interleukin-2-Rezeptor,interleukin rezeptor
Zylinder,zylinder
Sorghum halepense Ak.IgG,sorghum halepense ak igg
Citrus sinensis Baum Ak.IgE.RAST Klasse,citrus sinensis baum ak ige rast klasse
Ostrea edulis Ak.IgG.RAST Klasse,ostrea edulis ak igg rast klasse
Papain Ak.IgE.RAST Klasse,papain ak ige rast klasse
Pisum sativum Ak.IgG.RAST Klasse,pisum sativum ak igg rast klasse
Stizostedion vitreum Ak.IgE.RAST Klasse,stizostedion vitreum ak ige rast klasse
Eravacyclin,eravacyclin
Macadamia spp Ak.IgE.RAST Klasse,macadamia spp ak ige rast klasse
Malz Ak.IgG.RAST Klasse,malz ak igg rast klasse
Shigella dysenteriae Ak,shigella dysenteriae ak
Amylase-Isoenzyme,amylase isoenzyme
Adenovirus,adenovirus
Olea europaea-Pollen Ak.IgE,olea europaea pollen ak ige
Allium cepa Ak.IgE,allium cepa ak ige
Chrysanthemum leucanthemum Ak.IgE,chrysanthemum leucanthemum ak ige
Myeloperoxidase,myeloperoxidase
Prunus persica var nucipersica Ak.IgG4,prunus persica var nucipersica ak igg
Buprenorphin,buprenorphin
Curry Ak.IgE,curry ak ige
Phoenix canariensis-Pollen Ak.IgE,phoenix canariensis pollen ak ige
Creatinin^Basislinie,creatinin basislinie
Glucose^15 Minuten vor XXX Stimulation,glucose minuten stimulation
Glucose^präprandial,glucose praeprandial
Dolichovespula arenaria Ak.IgG4,dolichovespula arenaria ak igg
Senf Ak.IgG.RAST Klasse,senf ak igg rast klasse
Monozyten/Leukozyten,monozyten leukozyten
Mumps-Virus Ak.IgG+IgM,mumps virus ak igg igm
Neisseria meningitidis Ak,neisseria meningitidis ak
Neutrophiler zytoplasmatischer Ak.IgA,neutrophiler zytoplasmatischer ak iga
Aspergillus sp Ak,aspergillus sp ak
Dengue-Virus Ak.IgG,dengue virus ak igg
Ethylmalonat,ethylmalonat
Tyrosin/Creatinin,tyrosin creatinin
Glucose/Creatinin,glucose creatinin
Bilirubin.Albumin gebunden,bilirubin albumin gebunden
Lysin/Creatinin,lysin creatinin
Serin/Creatinin,serin creatinin
Aspartat/Creatinin,aspartat creatinin
Campylobacter fetus Ag,campylobacter fetus ag
Epizootische-hämorrhagische-Krankheit-Virus Ak,epizootische haemorrhagische krankheit virus ak
Galaktose-1-Phosphat,galaktose phosphat
Francisella tularensis Ag,francisella tularensis ag
Maus-Serumproteine Ak.IgE.RAST Klasse,maus serumproteine ak ige rast klasse
Agaricus hortensis Ak.IgE.RAST Klasse,agaricus hortensis ak ige rast klasse
Quercus virginiana Ak.IgE.RAST Klasse,quercus virginiana ak ige rast klasse
Avena sativa Ak.IgE.RAST Klasse,avena sativa ak ige rast klasse
Desmoglein 1 Ak,desmoglein ak
11-Desoxycortisol^4. Probenmaterial nach XXX Stimulation,desoxycortisol probenmaterial stimulation
Blasten,blasten
Interferon,interferon
Oxacillin,oxacillin
Cefepim,cefepim
Taubenkot Ak.IgG,taubenkot ak igg
Plasmodium falciparum Ag,plasmodium falciparum ag
Schistosoma sp,schistosoma sp
Lipoprotein (klein a),lipoprotein klein
Cotinin,cotinin
Targetzellen,targetzellen
Ofloxacin,ofloxacin
Oleandomycin,oleandomycin
"Gastrin^1,5 Stunden nach XXX Stimulation",gastrin stimulation
7-Aminoclonazepam,aminoclonazepam
Meprobamat/Creatinin,meprobamat creatinin
Ambrosia psilostachya Ak.IgE,ambrosia psilostachya ak ige
2-Oxoadipat/Creatinin,oxoadipat creatinin
Isospora belli,isospora belli
Insulin.frei,insulin frei
Pankreatisches Polypeptid,pankreatisches polypeptid
Fasciola hepatica Ak,fasciola hepatica ak
"Somatotropin^2,5 Stunden nach XXX Stimulation",somatotropin stimulation
Zink/Creatinin,zink creatinin
Chinin,chinin
Leptospira sp Ak.IgG,leptospira sp ak igg
Präkallikrein aktuell/normal,praekallikrein aktuell
Pyrimidin-5'-Nukleotidase,pyrimidin nukleotidase
Tryptophan/Creatinin,tryptophan creatinin
Heparinoid,heparinoid
Plasminogen aktuell/normal,plasminogen aktuell
Protoporphyrin.Zink,protoporphyrin zink
Clostridioides difficile Ak.IgA,clostridioides difficile ak iga
Cannabinoide/Creatinin,cannabinoide creatinin
Escherichia coli Ak.IgM,escherichia coli ak igm
Amiodaron,amiodaron
Hyaluronat,hyaluronat
2-Hydroxyphenylacetat,hydroxyphenylacetat
Molybdän/Creatinin,molybdaen creatinin
Basalmembran Ak.IgA,basalmembran ak iga
Herpes-simplex-Virus Ag,herpes simplex virus ag
Botrytis cinerea Ak.IgG,botrytis cinerea ak igg
Thiocyanat,thiocyanat
Mycobacterium sp,mycobacterium sp
Phleum pratense rekombinant (rPhl p) 2 Ak.IgE,phleum pratense rekombinant rphl ak ige
Phleum pratense nativ (nPhl p) 4 Ak.IgE,phleum pratense nativ nphl ak ige
Parietaria judaica Ak.IgE.RAST Klasse,parietaria judaica ak ige rast klasse
(Rindfleisch+Hühnerfleisch+Schweinefleisch+Truthahnfleisch) Ak.IgE,rindfleisch huehnerfleisch schweinefleisch truthahnfleisch ak ige
(Allium cepa+Allium sativum+Sesamum indicum+Hefe) Ak.IgE,allium cepa allium sativum sesamum indicum hefe ak ige
Harnstoff Renale Clearance,harnstoff renale clearance
Betula verrucosa rekombinant (rBet v) 1 Ak.IgE,betula verrucosa rekombinant rbet ak ige
Sardinops melanostictus Ak.IgE,sardinops melanostictus ak ige
Aspergillus fumigatus rekombinant (rAsp f) 3 Ak.IgE,aspergillus fumigatus rekombinant rasp ak ige
Phoenix dactylifera Ak.IgE,phoenix dactylifera ak ige
(Wellensittichfeder+Kanarienvogelfeder+Papageienfeder+Finkenfeder) Ak.IgE,wellensittichfeder kanarienvogelfeder papageienfeder finkenfeder ak ige
Sirolimus,sirolimus
Fibrin-Degradationprodukte,fibrin degradationprodukte
Bartonella quintana Ak.IgM,bartonella quintana ak igm
Schistosoma japonicum Ak,schistosoma japonicum ak
Streptococcus pneumoniae Ak,streptococcus pneumoniae ak
Strongyloides stercoralis Ak.IgG,strongyloides stercoralis ak igg
Varicella-Zoster-Virus DNA,varicella zoster virus dna
Immunglobulin-Leichtketten.kappa.frei,immunglobulin leichtketten kappa frei
Toxische Granula,toxische granula
Gelbfieber-Virus Ak.IgM,gelbfieber virus ak igm
Zika-Virus Ak.IgM,zika virus ak igm
Cardiolipin Ak,cardiolipin ak
Clostridioides difficile Toxine A+B tcdA+tcdB-Gene,clostridioides difficile toxine tcda tcdb gene
Argininosuccinat,argininosuccinat
Tenofovir,tenofovir
Saccharomyces cerevisiae Ak.IgE/IgE.gesamt,saccharomyces cerevisiae ak ige ige gesamt
Ristocetin,ristocetin
Creatinin^über Nacht,creatinin ueber nacht
Candida albicans Ag,candida albicans ag
Anhang,anhang
Carica papaya Ak.IgG4,carica papaya ak igg
Prothrombinfragment 1+2,prothrombinfragment
Blutausstrich-Befund,blutausstrich befund
Beta-Lactoglobulin MF77 Ak.IgE,beta lactoglobulin mf ak ige
Sorghum halepense Ak.IgE,sorghum halepense ak ige
Naturseide Ak.IgE,naturseide ak ige
Anethum graveolens Ak.IgE,anethum graveolens ak ige
Katzenschuppen Ak.IgE,katzenschuppen ak ige
Brucella sp Ag,brucella sp ag
Hepatitis-B-Virus e Ag,hepatitis virus ag
Fluorchinolon,fluorchinolon
Monozyten.abnorm,monozyten abnorm
Haarzellen,haarzellen
Uroporphyrin/Porphyrine.gesamt,uroporphyrin porphyrine gesamt
Flüssigkeitsausfuhr.Urin,fluessigkeitsausfuhr urin
Toxocara canis Ak.IgM,toxocara canis ak igm
C Ag,ag
Disulfiram,disulfiram
Promyelozyten,promyelozyten
F5-Gen HR2 Haplotyp,gen hr haplotyp
Hühner-Serumproteine Ak.IgE,huehner serumproteine ak ige
Brassica oleracea var botrytis Ak.IgE,brassica oleracea var botrytis ak ige
Mehrfache Inhalationsallergene Ak.IgE,mehrfache inhalationsallergene ak ige
Mottenstaub Ak.IgE,mottenstaub ak ige
Mytilus edulis Ak.IgG,mytilus edulis ak igg
Avena sativa Ak.IgG,avena sativa ak igg
Streptococcus pyogenes Ag,streptococcus pyogenes ag
Hundeschuppen Ak.IgG,hundeschuppen ak igg
Prunus persica Ak.IgG,prunus persica ak igg
Carya illinoinensis Nuss Ak.IgG,carya illinoinensis nuss ak igg
Eigelb Ak.IgG,eigelb ak igg
Solanum melongena Ak.IgE,solanum melongena ak ige
Entenfeder Ak.IgG,entenfeder ak igg
Prunus avium Ak.IgG,prunus avium ak igg
